experiment_id,model_family,model,representation,scale,condition,status,n,mean_score,median_score,std_score,min_score,max_score
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,qwen | iupac | 0-1,ambiguous,10,0.5700000000000001,0.6,0.2584139659108574,0.1,0.8
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,qwen | iupac | 0-1,bad,10,0.35,0.3,0.22730302828309762,0.1,0.8
qwen_iupac_0_1,qwen,qwen/qwen3-14b,iupac,0-1,qwen | iupac | 0-1,good,10,0.79,0.8,0.11005049346146123,0.6,0.9
qwen_iupac_0_10,qwen,qwen/qwen3-14b,iupac,0-10,qwen | iupac | 0-10,ambiguous,10,5.0,4.5,3.018461712712472,1.0,9.0
qwen_iupac_0_10,qwen,qwen/qwen3-14b,iupac,0-10,qwen | iupac | 0-10,bad,10,3.0,2.5,2.309401076758503,1.0,8.0
qwen_iupac_0_10,qwen,qwen/qwen3-14b,iupac,0-10,qwen | iupac | 0-10,good,10,7.8,8.0,1.398411797560202,5.0,9.0
qwen_smiles_0_1,qwen,qwen/qwen3-14b,smiles,0-1,qwen | smiles | 0-1,ambiguous,10,0.6100000000000001,0.55,0.22335820757001273,0.3,0.9
qwen_smiles_0_1,qwen,qwen/qwen3-14b,smiles,0-1,qwen | smiles | 0-1,bad,10,0.31,0.3,0.19692073983655906,0.1,0.7
qwen_smiles_0_1,qwen,qwen/qwen3-14b,smiles,0-1,qwen | smiles | 0-1,good,10,0.79,0.8,0.1197218999737865,0.6,0.9
qwen_smiles_0_10,qwen,qwen/qwen3-14b,smiles,0-10,qwen | smiles | 0-10,ambiguous,10,4.9,4.5,2.923088169119167,2.0,8.0
qwen_smiles_0_10,qwen,qwen/qwen3-14b,smiles,0-10,qwen | smiles | 0-10,bad,10,3.8,4.5,2.14993539954628,1.0,7.0
qwen_smiles_0_10,qwen,qwen/qwen3-14b,smiles,0-10,qwen | smiles | 0-10,good,10,7.6,8.0,1.2649110640673518,5.0,9.0
qwen_smiles_descriptors_0_1,qwen,qwen/qwen3-14b,smiles_descriptors,0-1,qwen | smiles+descriptors | 0-1,ambiguous,10,0.5700000000000001,0.6,0.23711225658371657,0.1,0.85
qwen_smiles_descriptors_0_1,qwen,qwen/qwen3-14b,smiles_descriptors,0-1,qwen | smiles+descriptors | 0-1,bad,10,0.5349999999999999,0.5,0.21864481598143493,0.1,0.85
qwen_smiles_descriptors_0_1,qwen,qwen/qwen3-14b,smiles_descriptors,0-1,qwen | smiles+descriptors | 0-1,good,10,0.47000000000000003,0.5,0.17029386365926397,0.2,0.7
qwen_smiles_descriptors_0_10,qwen,qwen/qwen3-14b,smiles_descriptors,0-10,qwen | smiles+descriptors | 0-10,ambiguous,10,5.3,5.5,2.6267851073127395,1.0,9.0
qwen_smiles_descriptors_0_10,qwen,qwen/qwen3-14b,smiles_descriptors,0-10,qwen | smiles+descriptors | 0-10,bad,10,4.6,4.5,2.4585451886114362,1.0,9.0
qwen_smiles_descriptors_0_10,qwen,qwen/qwen3-14b,smiles_descriptors,0-10,qwen | smiles+descriptors | 0-10,good,10,4.8,5.0,1.7511900715418263,2.0,7.0
