Epoch,DockingScoreProperty,DrugLikenessProperty,GlaxoProperty,HeavyAtomCountProperty,LogPProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,Reward,score
25,-6.946875,0.8709375,0.0,17.421875,4.854067187500004,0.0625,0.015625,0.0,15.536344999999997,0.8709375
26,-6.9078125,0.84328125,0.0,16.984375,4.662936562500003,0.03125,0.0,0.0,15.237224687499998,0.84328125
27,-6.8703125,0.86109375,0.0,18.1875,5.072902500000004,0.046875,0.0,0.0,15.205149687499997,0.86109375
28,-6.796875,0.8696875,0.0,17.15625,4.738687812500004,0.015625,0.0,0.0,15.387557187499999,0.8696875
29,-6.7921875,0.855,0.0,16.8125,4.679347187500004,0.03125,0.0,0.0,15.273735937499998,0.855
30,-6.9859375,0.870625,0.0,17.21875,4.745311562500004,0.0,0.0,0.0,15.557999374999998,0.870625
31,-7.0046875,0.76625,0.0,18.15625,5.022586875000004,0.109375,0.0,0.0,14.426671562499997,0.76625
32,-7.0,0.6135937499999999,0.0,18.546875,5.142993437500004,0.015625,0.0,0.0,12.850151249999998,0.6135937499999999
33,-7.0125,0.68203125,0.0,18.921875,5.128999375000004,0.015625,0.0,0.0,13.570584062499998,0.68203125
34,-7.0640625,0.751875,0.0,18.703125,5.0180396875000035,0.046875,0.0,0.0,14.348631874999997,0.751875
35,-7.0390625,0.7112499999999999,0.0,18.59375,4.987588437500004,0.015625,0.0,0.0,13.938074374999998,0.7112499999999999
36,-7.1703125,0.7584375,0.0,18.96875,5.161044375000004,0.03125,0.0,0.0,14.451607187499997,0.7584375
37,-7.1265625,0.8312499999999999,0.0,18.84375,4.998213125000004,0.0,0.0,0.0,15.242683749999998,0.8312499999999999
38,-7.021875,0.8359375,0.0,18.703125,5.041083750000004,0.0,0.0,0.0,15.172450624999998,0.8359375
39,-7.171875,0.83984375,0.0,18.96875,5.073885000000004,0.0,0.0,0.0,15.376627499999998,0.83984375
40,-7.1140625,0.86328125,0.0,19.203125,5.063711875000004,0.0,0.0,0.0,15.553142187499997,0.86328125
41,-7.2515625,0.83203125,0.0,19.96875,5.256863125000004,0.015625,0.0,0.0,15.265786249999996,0.83203125
42,-7.240625,0.8351562499999999,0.0,19.234375,5.122347500000004,0.0,0.0,0.0,15.358597499999997,0.8351562499999999
43,-7.36875,0.8734375,0.0,19.65625,5.183115625000004,0.0,0.0,0.0,15.843068749999997,0.8734375
44,-7.0390625,0.7640625,0.0,18.546875,4.805480937500004,0.09375,0.015625,0.0,14.522442499999999,0.7640625
45,-7.078125,0.8429687499999999,0.0,17.953125,4.712255000000003,0.0,0.0,0.0,15.412839062499998,0.8429687499999999
46,-7.3203125,0.8624999999999999,0.0,19.46875,5.124679375000004,0.0,0.0,0.0,15.674249062499998,0.8624999999999999
47,-7.178125,0.82125,0.0,18.859375,4.966150312500004,0.0625,0.015625,0.0,15.226182812499998,0.82125
48,-7.221875,0.69765625,0.0,20.0,5.215174375000005,0.015625,0.0,0.0,13.889713437499998,0.69765625
49,-7.25625,0.78984375,0.0,19.109375,4.976885625000004,0.125,0.0,0.0,14.981337812499998,0.78984375
