Epoch,DrugLikeness,DrugLikenessSEM,DockingScore,DockingScoreSEM,Molecules
0,0.4430769230769231,0.020270909286798398,-7.7323076923076925,0.11635711963580408,65
1,0.39921875,0.016040784897689033,-7.8,0.11611263005006328,64
2,0.44765625,0.020119610324706973,-7.809375,0.10254012837220024,64
3,0.4576923076923077,0.019740831891969048,-7.878461538461539,0.1304115583689307,65
4,0.47734375,0.02013501326795181,-7.7734375,0.12170747414761696,64
5,0.44153846153846155,0.023807350562975338,-7.944615384615385,0.11259676968891558,65
6,0.43046875,0.0179428514188434,-8.0125,0.1327274178921502,64
7,0.46015625,0.01935786132337147,-8.3421875,0.10422152573288905,64
8,0.45615384615384613,0.01852453195154114,-8.098461538461539,0.10827520819679441,65
9,0.5246153846153846,0.02480992834287713,-8.663076923076924,0.11106064764632564,65
10,0.56359375,0.023065390984865663,-8.7515625,0.09957728581706994,64
11,0.53828125,0.021757541439671162,-8.83125,0.1107306855493193,64
12,0.5878125,0.020124203560598682,-8.9234375,0.1239588022700214,64
13,0.5892307692307692,0.02202195985774953,-8.810769230769232,0.104147710306709,65
14,0.55390625,0.02378768646080863,-8.865625,0.10487186886371502,64
15,0.5909375,0.020546500143692643,-8.8890625,0.11950454073154018,64
16,0.5784375,0.023293140073935247,-9.125,0.10722880150881044,64
17,0.6171875,0.021105917639955934,-9.0859375,0.09198718821194016,64
18,0.65078125,0.02114329498898105,-8.865625,0.08375544136552165,64
19,0.6596875,0.020529895871727356,-9.0546875,0.08285366976035478,64
20,0.6671875,0.019101167521762757,-8.7890625,0.08030562860481873,64
21,0.696875,0.01921948596797052,-8.95625,0.0863695398889847,64
22,0.7006249999999999,0.02108052752833799,-9.065625,0.0744763048900747,64
23,0.7271875,0.017813892315398205,-9.0703125,0.0557541944245681,64
24,0.73890625,0.018650020728929077,-8.9296875,0.07284195790101451,64
25,0.75375,0.020271593425283566,-8.884375,0.0773513278915579,64
26,0.7975,0.02031131712062522,-9.0515625,0.0567817540828583,64
27,0.74734375,0.023106081050728127,-9.184375,0.04527357044187654,64
28,0.780625,0.01801932797180726,-9.1234375,0.03784511744183796,64
29,0.80734375,0.020016414627467387,-8.9546875,0.07630900291637462,64
30,0.808125,0.014983249576014638,-9.1046875,0.038667647225610786,64
31,0.79125,0.016013232375479695,-9.0125,0.04495919666852786,64
32,0.7315625,0.020979509502093055,-8.48125,0.0901628542015933,64
33,0.78,0.01811969681585243,-8.846875,0.06004994407766054,64
34,0.8028125,0.018073742176151566,-8.775,0.053776064186263024,64
35,0.76328125,0.019423811642037637,-8.8140625,0.05967285098221166,64
36,0.77984375,0.01746381205587192,-8.8953125,0.06909382594149874,64
37,0.74015625,0.02143591893089042,-8.934375,0.055689168445424445,64
38,0.78140625,0.01713315497449201,-8.8703125,0.06422924003362969,64
39,0.79765625,0.015543624904558493,-9.04375,0.0491936467539496,64
