Epoch,DockingScoreProperty,GlaxoProperty,HeavyAtomCountProperty,LogPProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,Reward
0,-5.71076923076923,0.3384615384615385,26.49230769230769,2.9431941538461537,4.676923076923077,1.523076923076923,0.1076923076923077,5.165981846153844
1,-4.5671875,0.296875,27.671875,3.5502557812499997,4.640625,1.546875,0.109375,4.651832499999998
2,-5.76875,0.265625,26.59375,3.575697499999999,4.484375,1.59375,0.078125,5.160965624999998
3,-0.3030769230769238,0.27692307692307694,26.661538461538463,3.3405589230769226,4.338461538461538,1.7846153846153847,0.046153846153846156,5.29544969230769
4,-4.6578125,0.171875,28.75,3.8195601562499997,4.921875,1.5625,0.078125,4.609767812499999
5,-5.152307692307692,0.15384615384615385,26.861538461538462,4.247593846153845,4.8307692307692305,0.8307692307692308,0.09230769230769231,4.809318461538458
6,-6.08125,0.234375,23.984375,3.7408681249999995,4.34375,1.296875,0.0625,5.5163671874999975
7,-6.0484375,0.125,23.109375,3.6313954687499987,4.140625,1.25,0.015625,5.810647187499998
8,-6.1109375,0.234375,22.515625,3.34954796875,4.328125,1.578125,0.0625,5.677095312499999
9,-6.628125,0.109375,22.015625,3.657105937499999,3.53125,1.1875,0.015625,6.341814531249998
10,-6.4828125,0.09375,21.8125,3.821392812499999,3.25,1.171875,0.03125,6.124364062499998
11,-6.371875,0.0625,23.21875,4.059242968749999,3.65625,1.15625,0.015625,6.254721874999998
12,-6.64375,0.0,23.34375,4.1533609375,3.859375,1.40625,0.0,6.525364062499998
13,-6.64375,0.046875,22.765625,3.696225937499999,4.46875,1.78125,0.015625,6.529093749999999
14,-6.6953125,0.046875,23.375,3.7440046874999986,4.65625,1.671875,0.046875,6.438249999999997
15,-6.921875,0.0625,24.546875,4.1728834374999995,4.265625,1.40625,0.0,6.666882812499997
16,-6.61875,0.046875,24.171875,3.6331314062499995,5.5,1.21875,0.046875,6.566028124999999
17,-6.847692307692308,0.046153846153846156,24.107692307692307,3.7075210769230766,5.076923076923077,1.7076923076923076,0.015384615384615385,6.823232307692306
18,-6.7234375,0.015625,24.71875,3.6124945312499994,6.109375,1.28125,0.03125,6.689979687499999
19,-6.9328125,0.015625,24.21875,3.3157164062499986,6.3125,1.703125,0.015625,6.958682812499999
20,-7.2,0.015625,24.609375,3.8102229687499993,5.859375,1.546875,0.015625,7.076815624999998
21,-7.1546875,0.078125,22.9375,3.3776289062499987,5.890625,2.203125,0.03125,6.978093749999999
22,-7.2390625,0.0,24.75,3.632482343749999,6.359375,1.78125,0.015625,7.207199999999999
23,-7.340625,0.0,25.265625,3.8019898437499995,6.4375,1.5625,0.0,7.294618749999999
24,-7.284375,0.0,24.625,3.6158671874999992,6.484375,1.875,0.03125,7.188228124999999
25,-7.271875,0.03125,24.109375,3.7003874999999993,6.09375,1.859375,0.015625,7.169660937499999
26,-7.48125,0.0,25.03125,3.640143437499999,6.953125,1.59375,0.015625,7.451140624999999
27,-7.3109375,0.0,24.53125,3.7843546874999996,6.171875,1.65625,0.0,7.230523437499999
28,-7.2640625,0.0,25.234375,3.8301187499999996,6.5,1.96875,0.03125,7.176881249999999
29,-7.553125,0.03125,23.59375,3.3028914062499983,6.59375,2.046875,0.0,7.521875
30,-7.5484375,0.03125,25.328125,3.629062499999999,6.765625,2.40625,0.015625,7.437217187499999
31,-7.6640625,0.015625,23.890625,3.1848795312499982,7.25,2.1875,0.0,7.6484375
32,-7.678125,0.0,24.484375,3.620287656249999,6.84375,1.984375,0.015625,7.6266828124999995
33,-7.6031249999999995,0.0,25.546875,3.200645312499999,8.28125,1.5625,0.0,7.5554390625
34,-7.7515625,0.0,25.484375,3.042545312499999,8.640625,1.703125,0.0,7.7203125
35,-7.7703125,0.0,25.921875,3.096585937499998,8.828125,2.25,0.0,7.7546875
36,-7.763076923076923,0.0,26.369230769230768,3.445684615384615,8.246153846153845,1.9846153846153847,0.0,7.761318461538462
37,-7.7515625,0.03125,27.53125,3.524939062499999,8.515625,2.046875,0.0,7.6729984374999995
38,-7.8546875,0.0,27.3125,3.185878125,9.171875,1.578125,0.0,7.813803125
39,-7.9296875,0.0,27.65625,3.4378499999999996,8.796875,1.765625,0.0,7.9186734375
40,-7.8046875,0.015625,26.421875,3.1385203124999994,8.71875,1.828125,0.0,7.770807812499999
41,-7.40625,0.0,27.359375,3.5870534374999994,8.5625,1.25,0.0,7.3853078125
42,-7.8796875,0.0,26.515625,3.1129890624999996,8.890625,1.6875,0.0,7.8439140625
43,-7.565625,0.0,29.359375,3.9642546875,8.578125,1.09375,0.0,7.505806249999999
44,-7.3984375,0.0,26.234375,3.034725312499999,8.71875,1.421875,0.0,7.3203125
45,-7.6703125,0.0,26.109375,2.9705715624999987,8.625,1.359375,0.0,7.646609375
46,-7.659375,0.015625,28.203125,3.6091906249999997,8.390625,0.890625,0.0,7.576928124999999
47,-7.6171875,0.0,26.234375,2.9888924999999986,8.59375,1.15625,0.0,7.5859375
48,-7.759375,0.015625,26.375,3.2302234374999994,8.09375,1.484375,0.0,7.7281249999999995
49,-7.7546875,0.0,26.203125,3.34830625,7.984375,1.296875,0.0,7.739062499999999
